"year","latitude","longitude","name","value"
1980,50.5,-180.25,"Jan-Feb ice",NA
1980,50.5,-180.25,"Mar-Apr ice",NA
1980,50.5,-180,"Jan-Feb ice",NA
1980,50.5,-180,"Mar-Apr ice",NA
1980,50.5,-179.75,"Jan-Feb ice",NA
1980,50.5,-179.75,"Mar-Apr ice",NA
1980,50.5,-179.5,"Jan-Feb ice",NA
1980,50.5,-179.5,"Mar-Apr ice",NA
1980,50.5,-179.25,"Jan-Feb ice",NA
1980,50.5,-179.25,"Mar-Apr ice",NA
1980,50.5,-179,"Jan-Feb ice",NA
1980,50.5,-179,"Mar-Apr ice",NA
1980,50.5,-178.75,"Jan-Feb ice",NA
1980,50.5,-178.75,"Mar-Apr ice",NA
1980,50.5,-178.5,"Jan-Feb ice",NA
1980,50.5,-178.5,"Mar-Apr ice",NA
1980,50.5,-178.25,"Jan-Feb ice",NA
1980,50.5,-178.25,"Mar-Apr ice",NA
1980,50.5,-178,"Jan-Feb ice",NA
1980,50.5,-178,"Mar-Apr ice",NA
1980,50.5,-177.75,"Jan-Feb ice",NA
1980,50.5,-177.75,"Mar-Apr ice",NA
1980,50.5,-177.5,"Jan-Feb ice",NA
1980,50.5,-177.5,"Mar-Apr ice",NA
1980,50.5,-177.25,"Jan-Feb ice",NA
1980,50.5,-177.25,"Mar-Apr ice",NA
1980,50.5,-177,"Jan-Feb ice",NA
1980,50.5,-177,"Mar-Apr ice",NA
1980,50.5,-176.75,"Jan-Feb ice",NA
1980,50.5,-176.75,"Mar-Apr ice",NA
1980,50.5,-176.5,"Jan-Feb ice",NA
1980,50.5,-176.5,"Mar-Apr ice",NA
1980,50.5,-176.25,"Jan-Feb ice",NA
1980,50.5,-176.25,"Mar-Apr ice",NA
1980,50.5,-176,"Jan-Feb ice",NA
1980,50.5,-176,"Mar-Apr ice",NA
1980,50.5,-175.75,"Jan-Feb ice",NA
1980,50.5,-175.75,"Mar-Apr ice",NA
1980,50.5,-175.5,"Jan-Feb ice",NA
1980,50.5,-175.5,"Mar-Apr ice",NA
1980,50.5,-175.25,"Jan-Feb ice",NA
1980,50.5,-175.25,"Mar-Apr ice",NA
1980,50.5,-175,"Jan-Feb ice",NA
1980,50.5,-175,"Mar-Apr ice",NA
1980,50.5,-174.75,"Jan-Feb ice",NA
1980,50.5,-174.75,"Mar-Apr ice",NA
1980,50.5,-174.5,"Jan-Feb ice",NA
1980,50.5,-174.5,"Mar-Apr ice",NA
1980,50.5,-174.25,"Jan-Feb ice",NA
1980,50.5,-174.25,"Mar-Apr ice",NA
1980,50.5,-174,"Jan-Feb ice",NA
1980,50.5,-174,"Mar-Apr ice",NA
1980,50.5,-173.75,"Jan-Feb ice",NA
1980,50.5,-173.75,"Mar-Apr ice",NA
1980,50.5,-173.5,"Jan-Feb ice",NA
1980,50.5,-173.5,"Mar-Apr ice",NA
1980,50.5,-173.25,"Jan-Feb ice",NA
1980,50.5,-173.25,"Mar-Apr ice",NA
1980,50.5,-173,"Jan-Feb ice",NA
1980,50.5,-173,"Mar-Apr ice",NA
1980,50.5,-172.75,"Jan-Feb ice",NA
1980,50.5,-172.75,"Mar-Apr ice",NA
1980,50.5,-172.5,"Jan-Feb ice",NA
1980,50.5,-172.5,"Mar-Apr ice",NA
1980,50.5,-172.25,"Jan-Feb ice",NA
1980,50.5,-172.25,"Mar-Apr ice",NA
1980,50.5,-172,"Jan-Feb ice",NA
1980,50.5,-172,"Mar-Apr ice",NA
1980,50.5,-171.75,"Jan-Feb ice",NA
1980,50.5,-171.75,"Mar-Apr ice",NA
1980,50.5,-171.5,"Jan-Feb ice",NA
1980,50.5,-171.5,"Mar-Apr ice",NA
1980,50.5,-171.25,"Jan-Feb ice",NA
1980,50.5,-171.25,"Mar-Apr ice",NA
1980,50.5,-171,"Jan-Feb ice",NA
1980,50.5,-171,"Mar-Apr ice",NA
1980,50.5,-170.75,"Jan-Feb ice",NA
1980,50.5,-170.75,"Mar-Apr ice",NA
1980,50.5,-170.5,"Jan-Feb ice",NA
1980,50.5,-170.5,"Mar-Apr ice",NA
1980,50.5,-170.25,"Jan-Feb ice",NA
1980,50.5,-170.25,"Mar-Apr ice",NA
1980,50.5,-170,"Jan-Feb ice",NA
1980,50.5,-170,"Mar-Apr ice",NA
1980,50.5,-169.75,"Jan-Feb ice",NA
1980,50.5,-169.75,"Mar-Apr ice",NA
1980,50.5,-169.5,"Jan-Feb ice",NA
1980,50.5,-169.5,"Mar-Apr ice",NA
1980,50.5,-169.25,"Jan-Feb ice",NA
1980,50.5,-169.25,"Mar-Apr ice",NA
1980,50.5,-169,"Jan-Feb ice",NA
1980,50.5,-169,"Mar-Apr ice",NA
1980,50.5,-168.75,"Jan-Feb ice",NA
1980,50.5,-168.75,"Mar-Apr ice",NA
1980,50.5,-168.5,"Jan-Feb ice",NA
1980,50.5,-168.5,"Mar-Apr ice",NA
