"","YEAR","SPECIES","DISTRICT","SIZE_5MM","denom","num","PROP_MATURE"
"475",2006,"SNOW","ALL",132.5,7.01218636042433,6.91559611475817,0.986225373841845
"476",2006,"SNOW","ALL",137.5,2.30358833995919,2.29788694647013,0.997524994639812
"477",2007,"SNOW","ALL",7.5,181.972496919261,5.452792433803e-05,2.99649261625636e-07
"478",2007,"SNOW","ALL",12.5,38.1804107770485,0.00105022730405057,2.75069671246675e-05
"479",2007,"SNOW","ALL",17.5,96.1295003442814,0.000981219540120224,1.02072676608747e-05
"480",2007,"SNOW","ALL",22.5,969.014406048998,0.036430048285518,3.75949501453293e-05
"481",2007,"SNOW","ALL",27.5,626.972999286156,0.385562659234864,0.000614958953055153
"482",2007,"SNOW","ALL",32.5,2148.39642031589,3.68652545263591,0.00171594283893559
"483",2007,"SNOW","ALL",37.5,6369.76942717066,31.6959768020463,0.00497600064875897
"484",2007,"SNOW","ALL",42.5,7033.46165670171,118.638661703565,0.0168677484138301
"485",2007,"SNOW","ALL",47.5,10046.4526986703,555.887374746949,0.0553317067645704
"486",2007,"SNOW","ALL",52.5,13267.5401835519,1746.5069133488,0.131637582339038
"487",2007,"SNOW","ALL",57.5,10757.2212888281,2504.05449144604,0.232778932794348
"488",2007,"SNOW","ALL",62.5,8942.22115454258,2604.98896064506,0.291313412587849
"489",2007,"SNOW","ALL",67.5,5784.14995106708,1963.4225330362,0.339448760776677
"490",2007,"SNOW","ALL",72.5,6038.52972210573,2097.35530573257,0.347328803906456
"491",2007,"SNOW","ALL",77.5,5844.95096988087,2151.74517480549,0.36813742080874
"492",2007,"SNOW","ALL",82.5,6398.97200987159,2241.84788928788,0.350345006327487
"493",2007,"SNOW","ALL",87.5,5239.95412687498,1810.67857447752,0.345552371382568
"494",2007,"SNOW","ALL",92.5,4517.2285197755,1864.52440979648,0.412758487119695
"495",2007,"SNOW","ALL",97.5,3011.12156463477,1745.40137833795,0.579651581934606
"496",2007,"SNOW","ALL",102.5,2451.11489468683,1917.58612076967,0.78233220520439
"497",2007,"SNOW","ALL",107.5,1963.55121370999,1769.41971015159,0.90113244706686
"498",2007,"SNOW","ALL",112.5,1205.50598584448,1155.76138418868,0.958735500080525
"499",2007,"SNOW","ALL",117.5,495.993925604544,480.969761535022,0.969708975666972
"500",2007,"SNOW","ALL",122.5,174.48875506745,169.589227528474,0.971920668830025
"501",2007,"SNOW","ALL",127.5,30.3997183353243,30.1037922177496,0.990265498044736
"502",2007,"SNOW","ALL",132.5,12.9262643368062,12.8866246680347,0.996933401040035
"503",2009,"SNOW","ALL",12.5,572.706161655727,0.0521038787349925,9.09783798804558e-05
"504",2009,"SNOW","ALL",17.5,6351.11026435858,0.473307581852397,7.45235970013816e-05
"505",2009,"SNOW","ALL",22.5,12361.0729698457,2.46543391620253,0.00019945144909482
"506",2009,"SNOW","ALL",27.5,14658.4974398055,5.22998699673756,0.000356788751249184
"507",2009,"SNOW","ALL",32.5,15980.616106951,15.4642415716505,0.000967687445099448
"508",2009,"SNOW","ALL",37.5,18494.6467699608,76.9891675631436,0.00416278118315782
"509",2009,"SNOW","ALL",42.5,9889.78106791032,162.024812515189,0.0163830535178293
"510",2009,"SNOW","ALL",47.5,9277.88084723102,586.432336696976,0.0632075736208659
"511",2009,"SNOW","ALL",52.5,5936.07816438922,876.074144223248,0.147584671219266
"512",2009,"SNOW","ALL",57.5,4681.04121472162,1103.51723792205,0.235741833345016
"513",2009,"SNOW","ALL",62.5,4530.07180524782,1347.83958408151,0.297531615838875
"514",2009,"SNOW","ALL",67.5,3537.76583063167,1198.93366293989,0.338895709987062
"515",2009,"SNOW","ALL",72.5,4375.74617891035,1622.01192692709,0.370682361500914
"516",2009,"SNOW","ALL",77.5,4497.0592614129,1741.27336981634,0.387202673702205
"517",2009,"SNOW","ALL",82.5,3905.63345546516,1402.84712892448,0.359185557201092
"518",2009,"SNOW","ALL",87.5,3786.61842813624,1285.84418910503,0.339575854686241
"519",2009,"SNOW","ALL",92.5,3360.56521777444,1236.4428354758,0.367927046598026
"520",2009,"SNOW","ALL",97.5,2720.32061106321,1312.32514419288,0.48241561632692
"521",2009,"SNOW","ALL",102.5,1643.4173983907,1159.67641079703,0.705649345037134
"522",2009,"SNOW","ALL",107.5,1108.00956169857,961.223857487639,0.867523070842537
"523",2009,"SNOW","ALL",112.5,926.969704387047,861.398045913899,0.929262350039252
"524",2009,"SNOW","ALL",117.5,652.482162558921,615.103416451473,0.942712999293567
"525",2009,"SNOW","ALL",122.5,459.347188344289,440.185462708223,0.958284874442936
"526",2009,"SNOW","ALL",127.5,144.532859797364,140.200390591736,0.970024330718274
"527",2009,"SNOW","ALL",132.5,47.3603066783059,46.4471557688549,0.980719066798837
"528",2009,"SNOW","ALL",137.5,3.45538250993879,3.43807973029713,0.994992513971496
"529",2009,"SNOW","ALL",147.5,1.11871697831696,1.11136086772783,0.993424511532669
"530",2010,"SNOW","ALL",7.5,60.6574989730872,0.00275612587153726,4.54375125614743e-05
"531",2010,"SNOW","ALL",12.5,1084.93073459953,0.0758923804581113,6.99513600618242e-05
"532",2010,"SNOW","ALL",17.5,2061.75668453404,0.209913526131407,0.000101812948009841
"533",2010,"SNOW","ALL",22.5,21159.4516723047,1.75281869913806,8.2838569084108e-05
"534",2010,"SNOW","ALL",27.5,26540.7734143083,5.76828269677682,0.000217336646778617
"535",2010,"SNOW","ALL",32.5,28964.1473424394,33.1901970316149,0.0011459062350157
"536",2010,"SNOW","ALL",37.5,20555.3807094931,85.382301161938,0.00415376890210094
"537",2010,"SNOW","ALL",42.5,38492.3295344557,737.03619606547,0.0191476121341455
"538",2010,"SNOW","ALL",47.5,48515.3820246369,2851.74715984942,0.0587802680477968
"539",2010,"SNOW","ALL",52.5,25757.0053839136,3381.28784299908,0.131276434997014
"540",2010,"SNOW","ALL",57.5,12091.1914225099,3110.99086744265,0.257293988551945
"541",2010,"SNOW","ALL",62.5,8483.64922623773,3059.51202976833,0.360636319133287
"542",2010,"SNOW","ALL",67.5,4372.84667733938,1774.23395537075,0.405738889626532
"543",2010,"SNOW","ALL",72.5,2271.13733598359,1020.47304084936,0.449322471468866
"544",2010,"SNOW","ALL",77.5,1913.34315152174,906.030443812903,0.473532645250963
"545",2010,"SNOW","ALL",82.5,1573.05468401254,718.897833275359,0.457007528461502
"546",2010,"SNOW","ALL",87.5,1656.51286836471,770.65365262111,0.465226481084864
"547",2010,"SNOW","ALL",92.5,2259.96635368031,1214.68682269008,0.53748004730778
"548",2010,"SNOW","ALL",97.5,2286.09500592014,1497.72898825665,0.655147307691973
"549",2010,"SNOW","ALL",102.5,1779.97242134589,1446.74568094624,0.812791065522411
"550",2010,"SNOW","ALL",107.5,1424.3303813589,1298.83801763851,0.91189378155322
"551",2010,"SNOW","ALL",112.5,1365.79363369953,1278.48788169384,0.936076908069039
"552",2010,"SNOW","ALL",117.5,1219.41597637293,1157.77033257819,0.949446583455378
"553",2010,"SNOW","ALL",122.5,809.174267770294,780.678710725437,0.964784400369802
"554",2010,"SNOW","ALL",127.5,352.506190869499,345.511766111454,0.980158008740804
"555",2010,"SNOW","ALL",132.5,71.1170097185602,70.1760052266546,0.986768221897552
"556",2010,"SNOW","ALL",137.5,36.1339715211829,35.8265968908732,0.991493472281907
"557",2010,"SNOW","ALL",142.5,6.81081059532391,6.79249653524287,0.997311030776042
"558",2011,"SNOW","ALL",12.5,323.620979787341,0.0741207453959597,0.000229035662164629
"559",2011,"SNOW","ALL",17.5,1045.1127180305,0.0177215789704295,1.69566197642542e-05
"560",2011,"SNOW","ALL",22.5,7010.66385835329,1.73471658172745,0.000247439702826504
"561",2011,"SNOW","ALL",27.5,25711.4649976427,9.34826935164631,0.000363583691263931
"562",2011,"SNOW","ALL",32.5,17727.3502508232,17.0138406255343,0.000959750915100481
"563",2011,"SNOW","ALL",37.5,14194.488596342,47.1728428191637,0.00332332105513969
"564",2011,"SNOW","ALL",42.5,16857.3953429133,290.600742488077,0.0172387688949967
"565",2011,"SNOW","ALL",47.5,14696.193037957,993.399823644744,0.0675957250343007
"566",2011,"SNOW","ALL",52.5,14691.2465738776,2577.92979596287,0.175473863500915
"567",2011,"SNOW","ALL",57.5,16622.3805066312,4863.74070112786,0.29260193503497
"568",2011,"SNOW","ALL",62.5,16110.9867853224,6532.75924950518,0.405484737623688
"569",2011,"SNOW","ALL",67.5,10369.5996808883,4723.99912440303,0.455562342788374
"570",2011,"SNOW","ALL",72.5,6081.30361385216,2764.78023156526,0.454636112110496
"571",2011,"SNOW","ALL",77.5,5976.42690711205,2942.26973210955,0.4923125101067
"572",2011,"SNOW","ALL",82.5,3791.55625092613,1647.56317871413,0.434534810953072
"573",2011,"SNOW","ALL",87.5,2298.72722122914,1073.34011943231,0.466928006733393
"574",2011,"SNOW","ALL",92.5,1792.07976023195,1073.49777067904,0.599023433276262
"575",2011,"SNOW","ALL",97.5,1605.48271027301,1196.32240358423,0.745148107749346
"576",2011,"SNOW","ALL",102.5,1185.10297594765,996.477875147011,0.840836530977566
"577",2011,"SNOW","ALL",107.5,1121.76411478138,1024.81708508089,0.913576278271849
"578",2011,"SNOW","ALL",112.5,1005.18454957035,943.958056123765,0.939089301091276
"579",2011,"SNOW","ALL",117.5,891.429234940195,834.028160111763,0.935607816550594
"580",2011,"SNOW","ALL",122.5,604.280760793249,573.690288917078,0.949377054738571
"581",2011,"SNOW","ALL",127.5,247.707740680648,239.837751910204,0.968228732986629
"582",2011,"SNOW","ALL",132.5,71.1103481415178,69.3536235159803,0.975295794895541
"583",2011,"SNOW","ALL",137.5,19.586605398754,19.2437041778624,0.982493075552878
"584",2011,"SNOW","ALL",147.5,5.22910690004914,5.14096288683515,0.983143581705479
"585",2011,"SNOW","ALL",152.5,1.10253632227027,1.09452308079586,0.99273199321188
"586",2013,"SNOW","ALL",12.5,399.538908576424,0.00492645406232098,1.23303487008916e-05
"587",2013,"SNOW","ALL",17.5,3908.40438614769,0.930455966086164,0.000238065428793377
"588",2013,"SNOW","ALL",22.5,4376.00041744463,2.68197088863181,0.000612881771660787
"589",2013,"SNOW","ALL",27.5,5676.89660821497,4.62631194257476,0.000814936797665132
"590",2013,"SNOW","ALL",32.5,14881.4089066506,31.6708665019586,0.00212821693837098
"591",2013,"SNOW","ALL",37.5,12573.0584538936,80.2314885944609,0.00638122290520448
"592",2013,"SNOW","ALL",42.5,8338.92041307398,195.817867434446,0.0234824003269581
"593",2013,"SNOW","ALL",47.5,9512.75002427816,506.287470402349,0.0532219882904751
"594",2013,"SNOW","ALL",52.5,7948.15576399218,823.166213387745,0.103566945317927
"595",2013,"SNOW","ALL",57.5,7657.78373530238,1641.52583443431,0.214360432623198
"596",2013,"SNOW","ALL",62.5,6070.3782573871,1705.23008640176,0.280910021435098
"597",2013,"SNOW","ALL",67.5,4710.72328246928,1605.43670700387,0.34080471527131
"598",2013,"SNOW","ALL",72.5,5613.19135086865,2192.39766054074,0.39057953372665
"599",2013,"SNOW","ALL",77.5,6572.05152057737,2677.48587747744,0.407404882492797
"600",2013,"SNOW","ALL",82.5,6354.93852484823,2382.26677124166,0.374868578496367
"601",2013,"SNOW","ALL",87.5,4338.47610109391,1654.02642768547,0.381245946536024
"602",2013,"SNOW","ALL",92.5,2045.86268674748,973.227456123697,0.475705169475932
