"","YEAR","SIZE_1MM","COHORT_ABUND"
"609",2017,60,6.13065387766298
"610",2018,40,110.735713030339
"611",2018,41,176.167261669799
"612",2018,42,186.421018121427
"613",2018,43,235.903554977137
"614",2018,44,204.558374233772
"615",2018,45,235.840639695118
"616",2018,46,236.24333229665
"617",2018,47,254.580614151493
"618",2018,48,281.567754999147
"619",2018,49,265.858364466137
"620",2018,50,379.366804664111
"621",2018,51,388.847061803839
"622",2018,52,415.382993834743
"623",2018,53,384.113243796694
"624",2018,54,407.62811010439
"625",2018,55,385.52460294739
"626",2018,56,318.921293210826
"627",2018,57,343.06707343926
"628",2018,58,323.537201825945
"629",2018,59,287.750872005111
"630",2018,60,25.8850756549748
"631",2019,40,4.12324850400249
"632",2019,41,0.720041164034855
"633",2019,42,4.27069038914716
"634",2019,43,5.72132312449767
"635",2019,44,3.08248906941854
"636",2019,45,7.01643185450499
"637",2019,46,24.0118227762659
"638",2019,47,18.8667266798525
"639",2019,48,20.6172575677782
"640",2019,49,48.5086505732857
"641",2019,50,61.343187974921
"642",2019,51,35.5284736819693
"643",2019,52,51.4653348678898
"644",2019,53,54.7882524346234
"645",2019,54,80.2744307853228
"646",2019,55,64.3385196001792
"647",2019,56,77.7446181468028
"648",2019,57,82.2860484679771
"649",2019,58,74.0457536330392
"650",2019,59,73.3192598272199
"651",2019,60,10.4469374502463
"652",2021,40,0.123238086285182
"653",2021,41,0.345905755071786
"654",2021,42,0.562494042053292
"655",2021,43,0.497895880582225
"656",2021,44,0.476622599555939
"657",2021,45,0.754087293630802
"658",2021,46,0.680618029803824
"659",2021,47,0.668553717831163
"660",2021,48,0.604918850210767
"661",2021,49,0.517711075452923
"662",2021,50,0.661379041355414
"663",2021,51,0.573571913944408
"664",2021,52,0.403516838398782
"665",2021,53,0.676729363852994
"666",2021,54,1.13165090590431
"667",2021,55,0.984012816492302
"668",2021,56,0.961099404072144
"669",2021,57,1.41279423490498
"670",2021,58,0.756361842852567
"671",2021,59,1.11686891745958
"672",2021,60,0.0440896391476825
"673",2022,40,24.6535143165756
"674",2022,41,26.3554913274
"675",2022,42,39.1567541235369
"676",2022,43,36.9029206632524
"677",2022,44,41.8447573665221
"678",2022,45,32.9056090258971
"679",2022,46,33.8155997784254
"680",2022,47,37.2432351927994
"681",2022,48,33.6890449095035
"682",2022,49,29.0308448807794
"683",2022,50,31.7659542014861
"684",2022,51,25.9248797034101
"685",2022,52,24.9623658091187
"686",2022,53,14.4251491500767
"687",2022,54,15.1168871890398
"688",2022,55,17.8294372214259
"689",2022,56,16.7304577173479
"690",2022,57,14.5818539894501
"691",2022,58,10.8258812156927
"692",2022,59,11.1598491226233
"693",2022,60,1.81871445199287
"694",2023,40,32.9666304533066
"695",2023,41,28.8295057800894
"696",2023,42,39.9579564685781
"697",2023,43,25.6033053769047
"698",2023,44,26.7098446938101
"699",2023,45,20.0339466690759
"700",2023,46,30.4538940260769
"701",2023,47,18.3235453102768
"702",2023,48,17.5888298649547
"703",2023,49,23.9963608424393
"704",2023,50,21.5013519540841
"705",2023,51,24.7318213612256
"706",2023,52,29.1075312213471
"707",2023,53,29.4901118819053
"708",2023,54,31.7292774754915
"709",2023,55,21.847552428247
"710",2023,56,29.3235003594651
"711",2023,57,23.4849444312714
"712",2023,58,25.34654071094
"713",2023,59,19.6292364953523
"714",2023,60,0.835029270361297
"715",2024,40,83.9230262520603
"716",2024,41,90.4935107664254
"717",2024,42,94.9535373885131
"718",2024,43,100.64779348235
"719",2024,44,111.275612490485
"720",2024,45,131.882286330223
"721",2024,46,119.745358086538
"722",2024,47,129.148185728048
"723",2024,48,116.53262006946
"724",2024,49,110.324939496105
"725",2024,50,164.839508739015
"726",2024,51,143.036467201861
"727",2024,52,114.462764533063
"728",2024,53,118.664122278301
"729",2024,54,94.7641536774424
"730",2024,55,107.156675648619
"731",2024,56,78.9105409541216
"732",2024,57,92.1116891130416
"733",2024,58,56.1905992048878
"734",2024,59,76.8725469810617
"735",2024,60,12.436091563939
"736",2025,40,61.9870196184511
"737",2025,41,60.884400699044
"738",2025,42,73.9684942967538
"739",2025,43,102.234970693785
"740",2025,44,95.3749305192977
"741",2025,45,133.733524357683
"742",2025,46,124.397836133679
"743",2025,47,113.203048475684
"744",2025,48,91.2536391811478
"745",2025,49,110.957860248689
"746",2025,50,136.844075247121
"747",2025,51,117.681487659068
"748",2025,52,104.807595556835
"749",2025,53,98.9434917079622
"750",2025,54,108.133038899158
"751",2025,55,105.068961935168
"752",2025,56,117.382296931313
"753",2025,57,138.547819164439
"754",2025,58,125.238787559707
"755",2025,59,123.34415960313
"756",2025,60,17.1393214428281
